trust_matrix_size;evaluations_size;contents_size;execution_time
14;15;7;163
14;15;7;162
14;15;7;162
14;15;7;202
14;15;7;195
14;15;7;180
14;15;7;189
14;15;7;167
14;15;7;160
14;15;7;183
14;15;7;184
14;15;7;194
14;15;7;181
14;15;7;213
14;15;7;188
14;15;7;175
14;15;7;211
14;15;7;185
14;15;7;231
14;15;7;243
14;15;7;239
14;15;7;226
14;15;7;248
14;15;7;290
14;15;7;282
14;15;7;384
14;15;7;248
14;15;7;240
14;15;7;286
14;15;7;245
14;15;7;251
14;15;7;231
14;15;7;277
14;15;7;234
14;15;7;270
14;15;7;241
14;15;7;336
14;15;7;256
14;15;7;238
14;15;7;262
14;15;7;235
14;15;7;255
